accountNumber,creditLimit,availableMoney,transactionDateTime,transactionAmount,merchantName,merchantCategoryCode,currentBalance
999789077,20000,20000,2016-01-02T09:02:21,62.2,Hilton Hotels #692816,hotels,0
999789077,20000,19937.8,2016-01-02T19:41:31,150.78,Hyatt House #998451,hotels,62.2
999789077,20000,19787.02,2016-01-08T03:39:46,0,target.com,online_retail,212.98
999789077,20000,19812.02,2016-02-05T01:01:58,6.16,Apple iTunes,mobileapps,187.98
999789077,20000,19805.86,2016-02-06T14:05:25,18.87,Hilton Hotels #352797,hotels,194.14
999789077,20000,19786.99,2016-02-13T00:52:51,85.53,Hilton Hotels #316622,hotels,213.01
999789077,20000,19701.46,2016-02-17T07:23:52,89.95,Hilton Hotels #278076,hotels,298.54
999789077,20000,19611.51,2016-02-19T05:52:20,94.08,KFC #553537,fastfood,388.49
999789077,20000,19542.43,2016-03-07T13:56:33,6.16,Apple iTunes,mobileapps,457.57
999789077,20000,19536.27,2016-03-10T07:05:50,30.66,Hilton Hotels #680956,hotels,463.73
999789077,20000,19505.61,2016-03-27T00:13:09,163.14,Rodeway Inn #124016,hotels,494.39
999789077,20000,19367.47,2016-04-02T18:02:48,91.32,apple.com,online_retail,632.53
999789077,20000,19276.15,2016-04-03T13:56:46,68.11,Krispy Kreme #720032,fastfood,723.85
999789077,20000,19208.04,2016-04-05T18:01:04,170.46,McDonalds #791572,fastfood,791.96
999789077,20000,19037.58,2016-04-07T05:47:20,6.16,Apple iTunes,mobileapps,962.42
999789077,20000,19031.42,2016-04-09T07:08:11,26.88,Hilton Hotels #999142,hotels,968.58
999789077,20000,19004.54,2016-04-19T01:13:17,447.04,Rodeway Inn #329268,hotels,995.46
999789077,20000,18557.5,2016-04-21T18:07:31,85.36,KFC #806300,fastfood,1442.5
999789077,20000,18497.14,2016-05-01T20:19:21,393.03,Hyatt House #621607,hotels,1502.86
999789077,20000,18104.11,2016-05-08T22:36:21,6.16,Apple iTunes,mobileapps,1895.89
999789077,20000,18097.95,2016-05-13T09:00:03,42.82,Burger King #61773,fastfood,1902.05
999789077,20000,18055.13,2016-05-15T16:46:18,349.21,Hilton Hotels #119121,hotels,1944.87
999789077,20000,17705.92,2016-05-23T19:28:32,153.3,Rodeway Inn #784818,hotels,2294.08
999789077,20000,17552.62,2016-05-24T05:17:10,63.42,Marriott Hotels,hotels,2447.38
999789077,20000,17489.2,2016-05-28T06:20:11,63.42,Marriott Hotels,hotels,2510.8
999789077,20000,17577.62,2016-06-09T17:01:48,6.16,Apple iTunes,mobileapps,2422.38
999789077,20000,17571.46,2016-06-14T01:45:48,42.67,Renaissance Hotel #628831,hotels,2428.54
999789077,20000,17528.79,2016-06-15T23:59:54,44.81,Rodeway Inn #784818,hotels,2471.21
999789077,20000,17573.6,2016-06-16T01:11:57,170.43,Rodeway Inn #211609,hotels,2426.4
999789077,20000,17403.17,2016-06-20T23:48:51,174.89,Hilton Hotels #405695,hotels,2596.83
999789077,20000,17228.28,2016-06-23T17:10:38,168.65,Renaissance Hotel #97439,hotels,2771.72
999789077,20000,17059.63,2016-06-30T13:29:48,27.66,Hilton Hotels #533600,hotels,2940.37
999789077,20000,17056.97,2016-07-03T04:05:58,4.42,Hyatt House #770440,hotels,2943.03
999789077,20000,17052.55,2016-07-03T22:57:39,114.48,discount.com,online_retail,2947.45
999789077,20000,16938.07,2016-07-11T15:20:29,6.16,Apple iTunes,mobileapps,3061.93
999789077,20000,16931.91,2016-07-13T11:24:13,41.69,Hyatt House #464602,hotels,3068.09
999789077,20000,16890.22,2016-07-16T16:00:24,443.99,Renaissance Hotel #809953,hotels,3109.78
999789077,20000,16446.23,2016-07-19T18:23:16,3.8,Renaissance Hotel #738212,hotels,3553.77
999789077,20000,16442.43,2016-07-27T01:17:26,162.25,Hilton Hotels #992076,hotels,3557.57
999789077,20000,16305.18,2016-08-02T06:47:52,189.24,Hilton Hotels #28693,hotels,3694.82
999789077,20000,16115.94,2016-08-02T10:02:23,128.79,Wendys #940261,fastfood,3884.06
999789077,20000,15987.15,2016-08-08T16:13:48,282.13,Renaissance Hotel #89242,hotels,4012.85
999789077,20000,15705.02,2016-08-10T00:04:11,13.6,cheapfast.com,online_retail,4294.98
999789077,20000,15691.42,2016-08-11T00:53:07,6.16,Apple iTunes,mobileapps,4308.58
999789077,20000,15685.26,2016-08-14T13:01:48,48.04,Hyatt House #232008,hotels,4314.74
999789077,20000,15637.22,2016-08-19T07:00:40,16.08,Renaissance Hotel #845122,hotels,4362.78
999789077,20000,15621.14,2016-08-24T22:08:33,18.45,abc.com,online_subscriptions,4378.86
999789077,20000,15627.69,2016-09-01T04:46:45,223.46,Hilton Hotels #141743,hotels,4372.31
999789077,20000,15404.23,2016-09-10T19:29:08,6.16,Apple iTunes,mobileapps,4595.77
999789077,20000,15398.07,2016-09-13T20:16:35,477.32,discount.com,online_retail,4601.93
999789077,20000,14920.75,2016-09-23T23:57:28,42.2,Renaissance Hotel #738212,hotels,5079.25
999789077,20000,14878.55,2016-09-24T13:27:59,18.45,abc.com,online_subscriptions,5121.45
999789077,20000,14860.1,2016-09-29T03:07:20,211.15,Renaissance Hotel #696523,hotels,5139.9
999789077,20000,14673.95,2016-10-04T18:29:00,166.03,Hyatt House #237946,hotels,5326.05
999789077,20000,14507.92,2016-10-12T07:04:32,6.16,Apple iTunes,mobileapps,5492.08
999789077,20000,14501.76,2016-10-13T03:46:16,0,Hilton Hotels #992076,hotels,5498.24
999789077,20000,14501.76,2016-10-13T12:20:11,53.04,Hilton Hotels #900000,hotels,5498.24
999789077,20000,14448.72,2016-10-22T10:08:20,28.28,Hilton Hotels #119121,hotels,5551.28
999789077,20000,14420.44,2016-10-26T07:56:33,18.45,abc.com,online_subscriptions,5579.56
999789077,20000,14401.99,2016-10-28T13:02:51,59.91,Subway #401837,fastfood,5598.01
999789077,20000,14367.08,2016-11-07T08:09:31,41.33,Rodeway Inn #987870,hotels,5632.92
999789077,20000,14325.75,2016-11-11T08:36:05,6.16,Apple iTunes,mobileapps,5674.25
999789077,20000,14319.59,2016-11-20T03:26:36,176.11,Dunkin' Donuts #343350,fastfood,5680.41
999789077,20000,14143.48,2016-11-21T07:18:41,70.88,Rodeway Inn #166841,hotels,5856.52
999789077,20000,14072.6,2016-11-25T14:24:15,231.09,Rodeway Inn #923883,hotels,5927.4
999789077,20000,13841.51,2016-11-26T23:33:21,18.45,abc.com,online_subscriptions,6158.49
999789077,20000,13848.06,2016-12-04T12:38:52,158.85,Renaissance Hotel #151808,hotels,6151.94
999789077,20000,13689.21,2016-12-07T04:26:02,231.09,Rodeway Inn #923883,hotels,6310.79
999789077,20000,13920.3,2016-12-12T03:06:29,6.16,Apple iTunes,mobileapps,6079.7
999789077,20000,13914.14,2016-12-24T15:02:36,78.56,Arbys #669514,fastfood,6085.86
999789077,20000,13835.58,2016-12-24T19:05:12,189.38,Hyatt House #464602,hotels,6164.42
999789077,20000,13646.2,2016-12-28T08:23:38,18.45,abc.com,online_subscriptions,6353.8
